434.819402963,435.034918948,300,0.2155159849999677
434.919399458,435.134971473,301,0.21557201500002066
435.019403873,435.234921734,302,0.21551786100002346
435.119399247,435.334938838,303,0.21553959100003794
435.219395737,435.434940481,304,0.2155447439999989
435.31939438,435.534938816,305,0.21554443600001605
435.419413945,435.635018071,306,0.21560412600001655
435.519403666,435.734920988,307,0.21551732199998241
435.619405655,435.835102045,308,0.21569639000000507
435.719413259,435.934974848,309,0.21556158900000355
435.819398057,436.03491076,310,0.2155127030000017
435.919408545,436.134923743,311,0.21551519799999141
436.019400071,436.235005646,312,0.21560557499998367
436.11940017,436.334918749,313,0.2155185789999905
436.219402346,436.434926194,314,0.2155238480000321
436.319399022,436.534911793,315,0.2155127709999647
436.419401197,436.634906354,316,0.2155051569999955
436.519398066,436.734997064,317,0.21559899800001858
436.619401164,436.834927435,318,0.21552627099998745
436.719399379,436.934995723,319,0.21559634400000505
436.819400016,437.034923476,320,0.21552346000004263
436.919430075,437.134924377,321,0.21549430200002462
437.019399481,437.234922278,322,0.21552279700000554
437.119403766,437.33499856,323,0.21559479399996917
437.219394475,437.434961809,324,0.2155673340000135
437.319395069,437.534948326,325,0.2155532570000105
437.419403123,437.634946458,326,0.21554333500000666
437.519402178,437.734988665,327,0.21558648699999594
437.619399079,437.834926377,328,0.2155272979999836
437.719401211,437.934998428,329,0.21559721699998136
437.81939492,438.035023978,330,0.21562905800004728
437.919392898,438.134973376,331,0.21558047799999258
438.019395373,438.234922543,332,0.215527169999973
438.119392961,438.334916747,333,0.21552378600000566
438.219406625,438.434977986,334,0.21557136100000207
438.319443057,438.534991765,335,0.2155487079999716
438.41949422,438.634912741,336,0.2154185210000037
438.519402081,438.734920713,337,0.21551863199999843
438.619400015,438.834939646,338,0.21553963100001283
438.719407757,438.934921043,339,0.21551328599997532
438.819404844,439.034944857,340,0.2155400130000089
438.91939401,439.134914556,341,0.21552054599999337
439.019406979,439.23494033,342,0.2155333509999764
439.119400216,439.334963834,343,0.21556361800003287
439.219407375,439.434943148,344,0.21553577299999915
439.319400496,439.534941269,345,0.21554077299998653
439.419401001,439.634920122,346,0.2155191209999998
439.519399699,439.734942818,347,0.21554311899996037
439.619401358,439.834917979,348,0.21551662100000613
